ImeZanra,brojFilmovaSaTimZanrom
Drama,379
Crime,105
Action,89
Adventure,96
Biography,52
History,28
Sci-Fi,37
Romance,61
Western,10
Fantasy,30
Comedy,103
Thriller,60
Animation,40
Family,21
War,32
Mystery,52
Music,14
Horror,10
Musical,8
Film-Noir,12
Sport,10
