ImeReditelja,ukupnaZarada
Paul McGuigan,22494487.0
Christian Carion,1054361.0
Anton Corbijn,871577.0
Nathan Greno,200821936.0
Paul Verhoeven,4398392.0
Paul Haggis,54580300.0
Stephen Chow,17108591.0
Brad Anderson,1082715.0
Taylor Hackford,75331600.0
Sofia Coppola,44585453.0
Mike Newell,331922798.0
Henry Selick,75286229.0
Peter Mullan,4890878.0
Wolfgang Becker,4064200.0
Jessie Nelson,40311852.0
Spike Jonze,45104787.0
Oliver Hirschbiegel,141072.0
Stephen Daldry,21995263.0
John Cameron Mitchell,3029081.0
Steven Soderbergh,183417150.0
Joel Coen,58896936.0
Bob Gale,68034750.87
Trey Parker,52037603.0
Mike Judge,10824921.0
Todd Solondz,2807390.0
Antoine Fuqua,76631907.0
Alejandro Amenábar,96890921.0
James L. Brooks,148478011.0
Luc Besson,63540020.0
Francis Veber,4065116.0
Scott Hicks,35811509.0
Gregory Hoblit,56116183.0
Kenneth Branagh,4414535.0
Kar-Wai Wong,68034750.87
Michael Radford,21848932.0
Kevin Smith,3151130.0
Robert Altman,7069979.0
Jonathan Demme,77324422.0
Brian Henson,27281507.0
Spike Lee,149744246.0
James Foley,10725228.0
Jon Avnet,82418501.0
George Sluizer,68034750.87
Bruce Robinson,1544889.0
Bernardo Bertolucci,43984230.0
Jean-Jacques Annaud,58555245.0
Sidney Lumet,83800000.0
Nicholas Meyer,78912963.0
Ted Kotcheff,47212904.0
Robert Redford,54800000.0
Jim Abrahams,83400000.0
John Carpenter,47000000.0
Roman Polanski,69959483.87
Joseph Sargent,68034750.87
Mel Brooks,119500000.0
Robert Clouse,25000000.0
John Boorman,7056013.0
William Friedkin,15630710.0
Don Siegel,146934750.87
Brian G. Hutton,69413185.87
Gene Saks,44527234.0
Robert Aldrich,45300000.0
Cy Endfield,68034750.87
Guy Hamilton,51081062.0
J. Lee Thompson,68034750.87
Michael Powell,83957.0
John Sturges,4905000.0
Georges Franju,52709.0
Nicholas Ray,68034750.87
Alexander Mackendrick,68034750.87
Robert Wise,68034750.87
Charles Vidor,68034750.87
James Algar,76408097.0
Todd Haynes,68034750.87
Aneesh Chaganty,26020957.0
Andrey Zvyagintsev,1659156.0
Sean Baker,5904366.0
Destin Daniel Cretton,68034750.87
Tyler Nilson,13122642.0
Sebastian Schipper,68034750.87
Deniz Gamze Ergüven,845464.0
James Gunn,389813101.0
Joseph Kosinski,18340051.0
Brad Bird,608581744.0
Ron Clements,360300523.0
Denis Villeneuve,46889293.0
Ryan Coogler,109767581.0
David Mackenzie,26862450.0
Stephen Frears,37707719.0
Matt Reeves,208545589.0
Oriol Paulo,68034750.87
Gareth Evans,4105123.0
David Ayer,41003371.0
Hiromasa Yonebayashi,19202743.0
Bradley Cooper,215288866.0
Ethan Coen,171243005.0
Pierre Coffin,251513985.0
Jonathan Levine,35014192.0
Daniel Monzón,68034750.87
Bennett Miller,75605492.0
Ruben Fleischer,75590286.0
Dennis Gansel,68034750.87
John Lee Hancock,255959475.0
Tom McCarthy,15161798.0
Gabriele Muccino,69951824.0
David Cronenberg,17114882.0
Tomm Moore,686383.0
