ImeZanra,brojFilmovaSaTimZanrom
Comedy,193
Drama,516
Music,33
Action,153
Adventure,155
Sci-Fi,48
Horror,33
Romance,101
Crime,148
Mystery,70
Family,52
Fantasy,55
History,43
War,26
Animation,63
Thriller,105
Biography,88
Musical,17
Western,15
Film-Noir,13
Sport,14
